msno,is_churn,payment_method_id,payment_plan_days,plan_list_price,actual_amount_paid,is_auto_renew,city,bd,gender,registered_via,trans_month,trans_year,expire_month,expire_year,registration_month,registration_year,membership_duration,autorenew_._not_cancel,registration_duration,reg_mem_duration
245780,0,38,30,149,149,0,13,21,1,9,3,2015,4,2015,1,2014,30,0,462,432
69532,0,38,30,149,149,0,13,18,0,4,10,2015,11,2015,10,2015,30,0,36,6
59826,0,39,30,149,149,1,6,41,1,9,1,2017,3,2017,6,2012,40,1,1738,1698
46736,0,40,30,149,149,1,4,31,0,9,5,2016,6,2016,9,2013,34,1,1010,976
306040,0,36,30,150,150,0,1,0,0,3,9,2015,10,2015,8,2014,33,0,413,380
320497,0,40,31,149,149,1,10,35,1,9,1,2015,2,2015,5,2009,30,1,2102,2072
10648,0,40,30,149,149,1,22,27,0,3,6,2016,7,2016,10,2014,29,1,647,618
120888,0,39,0,0,149,1,9,23,1,9,4,2015,6,2015,6,2011,48,1,1467,1419
84163,0,40,30,149,149,1,15,30,0,9,12,2015,1,2016,12,2007,34,1,2940,2906
140632,0,39,30,149,149,1,6,29,1,9,7,2015,9,2015,7,2004,55,1,4073,4018
218764,0,30,30,149,149,1,1,24,0,3,6,2016,7,2016,10,2015,29,1,294,265
387284,0,41,30,149,119,1,5,29,1,7,8,2015,9,2015,10,2014,31,1,334,303
72071,0,33,30,149,149,1,14,28,0,9,10,2016,11,2016,11,2010,30,1,2203,2173
387585,0,40,30,149,149,1,5,51,0,9,12,2016,1,2017,2,2007,36,1,3611,3575
6972,0,39,30,149,149,1,5,23,1,9,2,2017,3,2017,12,2010,41,0,2281,2240
83838,0,33,30,149,149,1,12,29,0,9,1,2015,1,2015,8,2008,0,0,2326,2326
139760,0,41,30,149,149,1,4,24,1,7,4,2015,5,2015,8,2013,30,1,637,607
108863,0,40,30,149,149,1,5,28,1,9,5,2015,7,2015,8,2011,43,1,1426,1383
22489,0,40,30,149,149,1,13,47,0,9,5,2016,6,2016,8,2008,30,1,2866,2836
327849,0,31,30,149,149,1,15,54,0,9,2,2017,3,2017,12,2015,31,1,476,445
18382,0,27,30,149,149,1,22,35,0,9,11,2016,12,2016,11,2011,31,1,1858,1827
263982,0,33,195,894,894,0,10,24,1,3,4,2016,11,2016,11,2014,198,0,718,520
137279,0,37,31,149,149,1,4,36,0,9,3,2015,4,2015,12,2007,31,1,2686,2655
221798,0,41,30,99,99,1,5,25,1,7,6,2016,7,2016,5,2010,30,1,2268,2238
250214,0,41,30,149,149,1,15,42,1,7,7,2016,8,2016,2,2010,31,1,2372,2341
221210,0,34,30,149,149,1,13,30,0,9,5,2016,6,2016,3,2005,30,1,4132,4102
68997,0,40,30,149,149,1,13,34,1,9,2,2016,3,2016,4,2011,28,1,1800,1772
71804,0,39,31,149,149,1,15,32,1,9,1,2015,3,2015,11,2006,43,1,3043,3000
227269,0,23,30,134,134,1,4,23,1,9,12,2015,1,2016,6,2007,31,1,3158,3127
334232,0,41,30,149,149,1,4,48,1,7,2,2016,3,2016,1,2012,31,1,1522,1491
333964,0,40,30,149,149,1,15,34,1,3,2,2016,3,2016,6,2012,28,1,1351,1323
195844,0,36,30,180,180,0,8,0,1,9,9,2016,10,2016,4,2016,37,0,184,147
215184,0,40,31,149,149,1,13,21,0,3,2,2015,3,2015,7,2014,31,1,242,211
233051,0,40,30,149,149,1,22,25,0,9,10,2016,11,2016,6,2013,30,1,1237,1207
306032,0,41,30,149,149,1,5,23,1,7,6,2015,7,2015,8,2011,31,1,1430,1399
353801,0,41,30,149,149,1,15,22,1,7,11,2016,12,2016,8,2013,30,1,1208,1178
384284,0,36,30,150,150,0,6,25,0,9,3,2016,4,2016,10,2015,30,0,163,133
319239,0,33,30,149,149,1,6,42,0,9,12,2015,2,2016,6,2008,52,1,2806,2754
140030,0,40,30,149,149,1,15,32,0,3,1,2017,2,2017,6,2012,34,1,1686,1652
380833,0,41,30,149,149,1,4,30,0,7,6,2015,7,2015,3,2011,32,1,1588,1556
