msno,is_churn,payment_method_id,payment_plan_days,plan_list_price,actual_amount_paid,is_auto_renew,city,bd,gender,registered_via,trans_month,trans_year,expire_month,expire_year,registration_month,registration_year,membership_duration,autorenew_._not_cancel,registration_duration,reg_mem_duration
280470,0,41,30,149,149,1,5,21,0,7,12,2016,1,2017,3,2015,31,1,672,641
346351,0,40,31,149,149,1,5,45,0,9,3,2015,4,2015,1,2012,32,1,1159,1127
117510,0,34,0,0,149,1,5,30,1,9,6,2015,7,2015,7,2006,31,1,3316,3285
183044,0,40,30,149,149,1,13,42,0,9,10,2015,11,2015,5,2007,30,1,3098,3068
109458,0,40,30,149,149,1,15,24,1,9,9,2016,10,2016,1,2009,29,1,2821,2792
32349,0,41,30,99,99,1,14,35,1,7,9,2016,10,2016,8,2016,30,1,60,30
262002,0,41,30,99,99,1,5,34,0,7,4,2016,5,2016,4,2016,29,1,29,0
47060,0,41,30,149,149,1,15,31,1,7,12,2015,1,2016,9,2011,32,1,1575,1543
170551,0,40,31,149,149,1,22,26,1,9,4,2015,5,2015,3,2013,29,1,773,744
135761,0,38,30,149,149,0,13,21,0,7,9,2015,10,2015,12,2011,30,0,1383,1353
368437,0,38,30,149,149,0,18,23,1,3,6,2015,7,2015,3,2014,33,0,478,445
295257,0,39,30,149,149,1,13,29,0,9,8,2016,11,2016,3,2005,64,1,4263,4199
8403,0,38,30,149,149,0,15,27,1,3,7,2015,8,2015,11,2014,30,0,284,254
207104,0,41,30,149,149,1,1,0,0,7,5,2015,6,2015,4,2013,31,1,793,762
237265,0,39,30,149,149,1,15,24,1,9,12,2015,1,2016,8,2009,54,1,2366,2312
248356,0,39,30,149,149,1,5,49,0,3,4,2016,5,2016,6,2015,29,1,346,317
380162,0,41,30,99,99,1,5,28,0,7,3,2016,4,2016,9,2012,31,1,1312,1281
8296,0,38,30,149,149,0,5,19,0,3,8,2016,10,2016,1,2014,31,0,1002,971
133468,0,40,30,149,149,1,13,28,0,9,1,2017,2,2017,7,2011,31,1,2045,2014
162896,0,37,30,149,149,1,4,35,1,9,3,2016,4,2016,5,2011,32,1,1798,1766
357739,0,41,30,149,149,1,22,29,0,7,7,2016,9,2016,3,2012,32,1,1638,1606
143449,0,33,30,149,149,1,17,51,1,9,3,2016,4,2016,5,2010,30,1,2179,2149
375758,0,39,31,149,149,1,13,27,1,9,3,2015,5,2015,4,2009,44,1,2223,2179
244938,0,41,30,129,129,1,13,27,1,7,2,2016,3,2016,12,2013,29,1,808,779
145562,0,40,30,149,149,1,15,53,0,9,8,2015,9,2015,10,2011,30,1,1433,1403
64866,0,33,30,149,149,1,9,30,1,9,2,2016,3,2016,7,2012,31,1,1342,1311
198333,0,41,30,129,129,1,5,35,0,7,12,2016,1,2017,4,2011,33,1,2103,2070
289552,0,41,30,149,149,1,5,54,0,7,1,2016,2,2016,8,2014,31,1,548,517
147445,0,40,30,149,149,1,22,26,0,9,9,2016,10,2016,12,2014,29,1,676,647
366538,0,34,30,149,149,1,12,36,1,9,12,2015,1,2016,11,2004,31,1,4099,4068
149362,0,41,30,149,149,1,13,31,1,7,9,2015,10,2015,10,2010,31,1,1826,1795
228280,0,33,30,149,149,1,7,33,0,9,7,2016,8,2016,12,2005,31,1,3905,3874
346235,0,36,30,180,180,1,18,21,1,3,11,2016,12,2016,7,2016,29,1,162,133
63857,0,40,30,149,149,1,15,40,0,9,4,2016,5,2016,12,2009,29,1,2346,2317
296312,0,39,30,149,149,1,6,30,0,3,5,2015,7,2015,2,2014,38,1,522,484
345750,0,38,30,149,149,0,6,20,1,3,5,2016,6,2016,1,2013,35,0,1255,1220
162650,0,40,30,149,149,1,15,39,1,9,9,2015,10,2015,7,2006,30,1,3355,3325
273486,0,39,30,149,149,1,13,37,0,9,8,2016,10,2016,10,2010,55,1,2205,2150
74634,0,41,30,149,149,1,15,26,1,7,1,2017,2,2017,1,2013,31,1,1479,1448
360474,0,38,30,149,149,0,13,20,1,9,7,2015,8,2015,11,2012,30,0,985,955
282662,0,40,31,149,149,1,22,29,1,9,2,2015,3,2015,1,2014,27,1,423,396
249758,0,39,30,149,149,1,15,27,0,9,1,2017,3,2017,11,2006,47,1,3780,3733
208379,0,41,30,99,99,1,4,22,0,7,4,2016,5,2016,9,2015,30,1,243,213
154796,0,37,30,149,149,1,13,39,0,9,8,2015,9,2015,12,2006,31,1,3198,3167
115371,0,37,30,149,149,1,4,27,1,9,4,2016,5,2016,4,2012,30,1,1490,1460
221773,0,41,30,149,149,1,6,23,1,7,1,2017,2,2017,11,2012,31,1,1552,1521
223730,0,39,30,149,149,1,15,25,1,9,11,2015,12,2015,1,2008,41,1,2891,2850
233016,0,40,30,149,149,1,5,24,0,3,11,2015,12,2015,11,2014,29,1,395,366
374826,0,34,30,149,149,1,13,22,0,9,8,2016,9,2016,9,2010,30,1,2221,2191
218952,0,40,30,149,149,1,11,21,1,4,5,2016,6,2016,1,2016,30,1,156,126
319454,0,41,30,149,149,1,13,27,0,7,1,2015,2,2015,3,2012,33,1,1068,1035
71778,0,34,30,149,149,1,15,46,1,9,5,2016,6,2016,6,2009,30,1,2558,2528
107502,0,37,30,149,149,1,5,34,1,9,11,2015,12,2015,2,2011,32,1,1767,1735
16096,0,40,30,149,149,1,13,22,0,9,2,2017,3,2017,6,2015,27,1,634,607
267811,0,39,30,149,149,1,17,31,1,9,8,2016,10,2016,9,2011,56,1,1864,1808
153422,0,31,0,0,149,1,5,23,1,9,6,2015,7,2015,11,2010,31,1,1705,1674
41473,0,33,30,149,149,1,11,29,1,3,1,2017,3,2017,8,2013,32,1,1289,1257
143278,0,39,30,149,149,1,10,39,0,9,8,2016,10,2016,11,2012,39,1,1410,1371
312879,0,40,30,149,0,1,8,25,0,9,7,2016,8,2016,12,2014,25,1,622,597
301701,0,40,30,149,149,1,13,31,1,9,12,2015,1,2016,6,2010,30,1,2050,2020
186381,0,37,30,149,149,1,5,32,0,9,6,2016,7,2016,9,2004,30,1,4305,4275
287037,0,40,30,149,149,1,13,34,0,9,12,2016,1,2017,9,2015,30,1,474,444
10225,0,39,31,149,149,1,13,29,0,9,2,2015,4,2015,10,2007,37,1,2726,2689
229867,0,34,30,149,149,1,13,32,1,9,11,2015,12,2015,8,2007,31,1,3061,3030
94152,0,38,30,149,149,0,17,28,1,9,6,2015,7,2015,11,2006,30,0,3169,3139
270320,0,37,31,149,149,1,5,48,0,3,3,2015,4,2015,7,2013,31,1,623,592
19851,0,34,0,0,149,1,14,36,1,9,10,2015,11,2015,7,2009,30,1,2316,2286
211097,0,40,30,149,149,1,9,31,0,9,10,2016,11,2016,9,2012,30,1,1533,1503
110673,0,41,30,99,99,1,6,36,1,7,5,2016,6,2016,11,2015,31,1,212,181
202551,0,36,30,150,150,0,14,25,0,9,2,2016,3,2016,3,2015,34,0,386,352
370799,0,41,30,149,149,1,1,42,1,7,1,2015,2,2015,1,2013,31,1,760,729
159145,0,39,30,149,149,1,13,28,1,9,7,2015,9,2015,5,2011,37,1,1586,1549
168147,0,37,30,149,149,1,4,24,0,3,1,2016,2,2016,7,2013,31,1,932,901
55467,0,38,30,149,149,0,15,20,1,9,12,2016,1,2017,3,2015,30,0,656,626
203089,0,39,0,0,149,1,15,23,0,9,4,2015,6,2015,6,2010,57,1,1834,1777
76656,0,39,30,149,149,1,18,36,1,9,7,2015,9,2015,9,2010,33,1,1801,1768
271496,0,36,30,150,150,0,15,26,1,9,11,2015,12,2015,2,2007,30,0,3236,3206
114419,0,38,30,149,149,0,5,48,0,9,7,2016,8,2016,1,2011,30,0,2030,2000
276210,0,39,31,149,149,1,13,21,0,9,2,2015,4,2015,2,2012,42,1,1141,1099
368250,0,41,0,0,149,1,4,22,1,7,5,2015,6,2015,12,2014,31,1,181,150
147249,0,40,30,149,149,1,10,19,0,3,7,2016,8,2016,10,2013,30,1,1042,1012
275283,0,39,30,149,149,1,22,27,1,9,9,2016,11,2016,3,2007,52,1,3533,3481
85092,0,40,30,149,149,1,8,26,1,7,8,2015,9,2015,12,2013,30,1,654,624
161164,0,33,0,0,149,1,5,41,1,9,9,2015,10,2015,4,2008,31,1,2753,2722
259295,0,40,30,149,149,1,4,29,1,9,10,2015,11,2015,5,2014,31,1,550,519
89218,0,41,30,149,149,1,6,39,0,7,4,2015,5,2015,11,2013,30,1,545,515
269576,0,35,7,0,0,0,13,21,0,9,6,2015,6,2015,11,2011,5,0,1308,1303
177552,0,41,30,99,99,1,5,23,0,7,10,2016,12,2016,1,2012,31,1,1779,1748
146498,0,39,31,149,149,1,5,27,1,9,2,2015,4,2015,1,2012,49,1,1186,1137
378521,0,41,30,129,129,1,6,22,0,7,12,2015,1,2016,6,2013,31,1,926,895
127505,0,38,30,149,149,0,22,20,1,9,10,2016,11,2016,9,2010,30,0,2252,2222
385566,0,39,30,149,149,1,15,50,1,9,5,2015,7,2015,5,2011,39,1,1514,1475
131440,0,40,31,149,149,1,5,41,1,9,4,2015,5,2015,7,2013,30,1,641,611
234652,0,30,30,129,129,1,9,21,0,9,2,2015,3,2015,8,2010,28,1,1659,1631
308462,0,32,180,536,536,0,5,34,1,9,3,2015,9,2015,1,2012,180,0,1326,1146
94291,0,40,30,149,149,1,4,27,0,3,10,2016,11,2016,4,2013,34,1,1306,1272
106292,0,37,30,149,149,1,5,32,0,3,8,2016,9,2016,5,2012,31,1,1592,1561
59692,0,33,30,149,149,1,14,23,0,9,2,2017,3,2017,1,2009,31,1,2990,2959
8914,0,40,31,149,149,1,15,28,0,9,1,2015,2,2015,3,2007,30,1,2900,2870
18175,0,39,30,149,149,1,5,36,1,9,9,2016,11,2016,2,2005,45,1,4283,4238
384781,0,40,30,149,149,1,15,26,0,3,9,2016,10,2016,3,2014,29,1,946,917
58594,0,37,31,149,149,1,6,33,1,9,4,2015,5,2015,3,2008,29,1,2608,2579
119184,0,33,30,149,149,1,12,17,1,9,6,2016,7,2016,1,2009,31,1,2766,2735
288384,0,40,30,149,149,1,12,29,0,3,11,2016,12,2016,12,2014,30,1,739,709
31570,0,39,31,149,149,1,5,26,0,9,2,2015,4,2015,5,2012,44,1,1058,1014
70538,0,37,31,149,149,1,5,28,0,9,2,2015,3,2015,3,2012,28,1,1073,1045
352410,0,34,0,0,149,1,21,30,1,9,7,2015,8,2015,2,2007,31,1,3123,3092
210605,0,40,30,149,149,1,14,24,0,3,11,2016,12,2016,11,2014,29,1,747,718
110689,0,41,30,129,129,1,1,0,0,7,1,2016,2,2016,6,2013,31,1,981,950
180675,0,41,30,149,149,1,22,20,1,7,11,2015,12,2015,11,2012,30,1,1124,1094
183284,0,40,30,149,149,1,9,41,0,3,8,2016,9,2016,4,2012,30,1,1614,1584
245158,0,41,30,149,149,1,4,33,0,7,1,2015,2,2015,6,2013,31,1,609,578
240922,0,21,30,149,149,1,22,39,1,9,12,2016,2,2017,6,2007,48,1,3542,3494
54618,0,39,30,149,149,1,9,24,0,9,11,2016,1,2017,1,2013,37,1,1461,1424
88027,0,35,7,0,0,0,13,27,0,3,7,2016,8,2016,5,2013,36,0,1193,1157
44442,0,41,30,149,149,1,12,32,1,7,4,2016,5,2016,7,2013,30,1,1034,1004
173556,0,39,30,149,149,1,11,25,1,9,7,2016,9,2016,9,2006,52,1,3665,3613
294296,0,40,30,149,149,1,13,27,0,9,4,2016,5,2016,7,2007,29,1,3202,3173
389192,0,40,30,149,149,1,10,37,1,9,6,2016,7,2016,7,2012,29,1,1447,1418
222421,0,39,30,149,149,1,15,28,1,3,11,2016,1,2017,12,2012,40,1,1492,1452
249643,0,40,30,149,149,1,5,65,0,3,2,2016,3,2016,10,2014,28,1,509,481
207534,0,37,30,149,149,1,11,23,0,9,6,2016,7,2016,2,2010,29,1,2325,2296
313627,0,41,30,129,129,1,22,32,1,7,10,2015,11,2015,6,2013,31,1,880,849
156309,0,41,30,99,99,1,8,25,0,7,5,2016,6,2016,1,2016,31,1,152,121
328689,0,41,30,149,149,1,13,39,0,7,7,2015,8,2015,2,2013,31,1,910,879
173076,0,38,30,149,149,0,14,19,0,3,8,2016,9,2016,1,2015,34,0,601,567
141689,0,39,31,149,149,1,13,22,0,9,2,2015,4,2015,9,2013,56,1,577,521
367406,0,39,30,149,149,1,4,50,0,9,11,2015,12,2015,2,2013,46,1,1033,987
160087,0,38,30,149,149,0,9,30,1,3,9,2015,10,2015,2,2014,30,0,627,597
325600,0,41,30,129,129,1,5,23,0,7,7,2015,8,2015,7,2012,31,1,1123,1092
351453,0,40,30,149,149,1,14,23,0,9,2,2017,3,2017,2,2007,27,1,3699,3672
290801,0,41,30,99,99,1,13,31,1,7,1,2017,2,2017,12,2011,28,1,1894,1866
219563,0,39,30,149,149,1,22,25,0,9,8,2016,10,2016,7,2004,43,1,4476,4433
46066,0,41,30,149,149,1,11,34,1,7,9,2015,10,2015,1,2012,31,1,1369,1338
220449,0,40,30,149,149,1,18,22,1,3,1,2017,2,2017,4,2012,30,1,1772,1742
103862,0,39,30,149,149,1,15,25,0,9,9,2016,11,2016,5,2006,58,1,3839,3781
62450,0,19,30,149,149,1,15,29,1,9,2,2016,4,2016,6,2005,58,1,3970,3912
335708,0,41,30,149,149,1,7,42,1,7,6,2015,7,2015,7,2011,31,1,1449,1418
63705,0,30,30,149,149,1,22,36,1,9,9,2015,10,2015,12,2014,29,1,303,274
328326,0,34,0,0,149,1,13,24,1,9,6,2015,7,2015,5,2008,31,1,2634,2603
245614,0,39,30,149,149,1,22,24,0,3,10,2016,12,2016,5,2013,41,1,1307,1266
266773,0,37,30,149,149,1,13,28,0,9,7,2015,8,2015,10,2010,37,1,1767,1730
324897,0,40,30,149,149,1,5,22,1,9,7,2016,8,2016,8,2012,30,1,1453,1423
335136,0,39,31,149,149,1,13,23,0,9,3,2015,5,2015,2,2009,44,1,2266,2222
94246,0,37,30,149,149,1,13,43,1,9,11,2016,12,2016,11,2010,33,1,2224,2191
11786,0,41,30,149,149,1,5,50,0,7,11,2015,1,2016,2,2012,32,1,1402,1370
342118,0,39,30,149,149,1,13,44,0,9,1,2016,3,2016,1,2010,51,1,2262,2211
275951,0,38,30,149,149,0,22,17,0,9,7,2016,8,2016,8,2011,30,0,1822,1792
348245,0,34,30,149,149,1,15,26,1,9,8,2016,9,2016,10,2004,30,1,4380,4350
132947,0,38,30,149,149,0,4,29,0,9,11,2016,12,2016,2,2016,30,0,324,294
235848,0,38,30,149,149,0,5,48,1,9,4,2016,5,2016,1,2007,30,0,3399,3369
251961,0,34,30,149,149,1,4,31,1,9,5,2016,6,2016,9,2005,30,1,3943,3913
118466,0,41,30,149,149,1,15,32,0,7,12,2016,1,2017,8,2014,31,1,883,852
91873,0,41,30,129,129,1,14,35,1,7,5,2015,6,2015,11,2012,30,1,952,922
271447,0,33,30,149,149,1,22,43,1,9,7,2016,8,2016,10,2007,31,1,3235,3204
49208,0,35,7,0,0,0,4,22,0,7,11,2016,12,2016,12,2014,7,0,711,704
2641,0,36,30,180,180,1,15,0,0,9,11,2016,12,2016,10,2005,29,1,4067,4038
116952,0,37,30,149,149,1,4,24,1,3,5,2016,6,2016,6,2015,30,1,382,352
183135,0,41,30,149,149,1,21,31,0,7,5,2015,7,2015,4,2012,31,1,1157,1126
101754,0,36,30,150,150,0,4,23,1,9,9,2015,10,2015,7,2015,33,0,93,60
249299,0,29,30,180,180,0,6,26,0,9,7,2016,8,2016,10,2008,30,0,2861,2831
207732,0,41,0,0,149,1,22,23,1,7,5,2015,6,2015,7,2013,31,1,699,668
123342,0,34,0,0,149,1,6,26,1,9,3,2015,4,2015,12,2005,30,1,3436,3406
191929,0,37,30,149,149,1,13,37,1,3,9,2015,10,2015,9,2015,31,1,39,8
108646,0,40,31,149,149,1,8,44,0,3,1,2015,2,2015,12,2012,30,1,792,762
308843,0,37,30,149,149,1,4,27,0,9,5,2016,6,2016,2,2007,30,1,3385,3355
37319,0,41,30,99,99,1,22,27,1,7,4,2016,5,2016,11,2015,30,1,182,152
3758,0,41,30,129,129,1,4,18,1,7,2,2016,3,2017,11,2011,395,1,1960,1565
383036,0,34,30,149,149,1,13,26,0,9,9,2016,10,2016,9,2006,31,1,3685,3654
218133,0,34,30,149,149,1,5,27,1,3,1,2017,2,2017,12,2013,28,1,1159,1131
373798,0,39,30,149,149,1,15,32,1,9,11,2015,12,2015,10,2006,50,1,3348,3298
165068,0,39,0,0,149,1,22,25,0,9,4,2015,6,2015,12,2013,40,1,546,506
93684,0,41,30,149,149,1,4,28,1,7,1,2016,2,2016,4,2014,31,1,670,639
73902,0,39,30,149,149,1,15,32,1,9,10,2016,12,2016,10,2004,50,1,4449,4399
283575,0,34,0,0,149,1,15,54,1,9,3,2015,4,2015,6,2006,30,1,3237,3207
309466,0,41,30,99,99,1,15,55,1,7,10,2016,11,2016,2,2016,31,1,274,243
62467,0,41,30,149,149,1,11,33,0,7,7,2015,8,2015,2,2011,31,1,1662,1631
264071,0,40,30,149,149,1,6,42,1,9,8,2016,9,2016,7,2005,30,1,4092,4062
99578,0,31,30,149,149,1,21,41,0,9,2,2016,3,2016,3,2012,31,1,1488,1457
1270,0,37,30,149,149,1,13,40,0,9,8,2016,9,2016,2,2011,34,1,2043,2009
99932,0,36,30,180,180,0,13,19,1,3,8,2016,9,2016,7,2013,30,0,1141,1111
246166,0,37,31,149,149,1,5,33,1,9,1,2015,2,2015,3,2011,31,1,1427,1396
80078,0,34,30,149,149,1,5,52,0,9,2,2017,3,2017,3,2008,31,1,3316,3285
220953,0,34,30,149,149,1,22,26,0,3,7,2016,8,2016,7,2013,31,1,1145,1114
238976,0,39,30,149,149,1,9,27,0,3,1,2017,3,2017,2,2015,45,1,766,721
2606,0,39,30,149,149,1,22,27,1,9,12,2015,1,2016,5,2010,55,1,2074,2019
181160,0,37,31,149,149,1,5,26,0,9,2,2015,3,2015,9,2007,28,1,2731,2703
372590,0,41,30,129,129,1,22,25,0,7,12,2015,1,2016,2,2013,31,1,1057,1026
65281,0,41,30,149,149,1,5,28,0,7,10,2015,11,2015,1,2014,31,1,668,637
67198,0,39,31,149,149,1,13,30,1,3,3,2015,5,2015,12,2013,39,1,523,484
308291,0,37,30,149,149,1,13,36,0,9,11,2016,12,2016,7,2010,30,1,2333,2303
106841,0,41,30,149,149,1,13,26,1,7,2,2016,2,2016,5,2012,0,0,1356,1356
351203,0,39,31,149,149,1,13,29,1,9,1,2015,3,2015,11,2007,44,1,2689,2645
141471,0,41,30,99,99,1,5,27,0,7,9,2016,12,2016,5,2015,91,1,583,492
121341,0,40,30,149,149,1,5,33,0,9,9,2016,10,2016,9,2014,29,1,761,732
260244,0,41,30,100,100,1,1,0,1,7,4,2016,5,2016,4,2013,29,1,1130,1101
231147,0,39,31,149,149,1,11,24,0,9,1,2015,3,2015,11,2013,30,1,485,455
280828,0,41,30,149,149,1,12,28,1,7,9,2016,10,2016,9,2012,31,1,1491,1460
350170,0,39,30,149,149,1,14,38,1,3,9,2015,11,2015,8,2012,51,1,1196,1145
360273,0,38,30,149,149,0,11,18,0,9,10,2016,11,2016,1,2015,30,0,654,624
265357,0,40,31,149,149,1,13,34,0,9,2,2015,3,2015,9,2007,28,1,2734,2706
249813,0,34,30,149,149,1,22,27,1,9,5,2016,6,2016,6,2007,30,1,3314,3284
246986,0,41,30,129,129,1,15,34,0,7,11,2015,12,2015,4,2011,31,1,1705,1674
378060,0,39,30,149,149,1,15,29,1,3,12,2016,2,2017,8,2015,32,1,520,488
298293,0,40,30,149,149,1,5,30,0,3,11,2015,12,2015,9,2014,29,1,466,437
218916,0,38,195,894,894,0,21,0,1,9,2,2016,8,2016,6,2015,195,0,448,253
126440,0,37,30,149,149,1,5,24,1,9,7,2015,8,2015,6,2011,30,1,1535,1505
152725,0,37,30,149,149,1,13,31,1,9,12,2015,12,2015,3,2009,12,0,2457,2445
388874,0,34,0,0,149,1,21,28,1,9,3,2015,4,2015,9,2011,30,1,1308,1278
18445,0,39,0,0,149,1,13,32,0,9,4,2015,6,2015,6,2009,33,1,2182,2149
183502,0,41,30,149,149,1,4,37,1,7,9,2015,10,2015,10,2014,30,1,364,334
348511,0,39,30,149,149,1,15,21,0,9,7,2016,8,2016,10,2009,31,1,2484,2453
204782,0,40,30,149,149,1,13,27,0,9,8,2016,10,2016,10,2005,66,1,4041,3975
61035,0,34,30,149,149,1,17,22,0,9,11,2015,1,2016,3,2006,32,1,3591,3559
82321,0,39,30,149,149,1,4,29,1,3,8,2016,10,2016,5,2012,36,1,1590,1554
142810,0,41,30,99,99,1,5,54,0,7,1,2017,2,2017,2,2012,32,1,1845,1813
350148,0,40,31,149,149,1,15,33,1,9,1,2015,2,2015,12,2008,30,1,2233,2203
354763,0,36,30,180,180,1,6,22,1,9,8,2016,9,2016,7,2013,30,1,1148,1118
45954,0,41,30,99,99,1,5,32,1,7,10,2016,11,2016,12,2011,32,1,1780,1748
3259,0,41,30,129,129,1,5,30,0,7,2,2016,3,2016,10,2010,30,1,1978,1948
171034,0,38,30,149,149,0,13,27,0,9,3,2015,5,2015,2,2012,35,0,1159,1124
244995,0,39,0,0,149,1,14,35,0,9,4,2015,6,2015,12,2007,42,1,2728,2686
12643,0,38,30,149,149,0,5,20,1,9,11,2015,12,2015,10,2014,30,0,414,384
215116,0,41,30,149,149,1,13,46,0,7,9,2015,10,2015,5,2011,31,1,1615,1584
130160,0,39,0,0,149,1,14,31,1,9,4,2015,6,2015,7,2008,39,1,2528,2489
53927,0,39,30,149,149,1,13,31,1,3,9,2016,11,2016,5,2013,46,1,1278,1232
65311,0,40,30,149,149,1,4,33,0,9,10,2016,11,2016,6,2012,32,1,1607,1575
361786,0,34,30,149,149,1,13,30,1,9,2,2017,3,2017,1,2007,31,1,3738,3707
310245,0,32,195,894,894,0,13,27,0,9,8,2016,2,2017,9,2012,195,0,1611,1416
111285,0,39,31,149,149,1,5,25,0,9,1,2015,3,2015,3,2011,44,1,1473,1429
375604,0,37,30,149,149,1,5,41,1,9,8,2015,9,2015,1,2014,30,1,609,579
353349,0,37,30,149,149,1,5,34,0,9,12,2016,1,2017,8,2008,31,1,3080,3049
349924,0,41,30,149,149,1,4,29,0,7,2,2015,3,2016,1,2013,397,1,1157,760
307854,0,39,30,149,149,1,13,29,0,9,8,2016,10,2016,5,2006,52,1,3799,3747
363960,0,36,30,150,150,0,5,56,1,3,1,2016,2,2016,2,2012,30,0,1455,1425
35011,0,41,30,99,99,1,1,42,0,7,7,2016,8,2016,7,2013,32,1,1106,1074
138255,0,39,30,149,149,1,12,28,1,3,11,2016,1,2017,7,2013,33,1,1255,1222
