msno,is_churn,payment_method_id,payment_plan_days,plan_list_price,actual_amount_paid,is_auto_renew,city,bd,gender,registered_via,trans_month,trans_year,expire_month,expire_year,registration_month,registration_year,membership_duration,autorenew_._not_cancel,registration_duration,reg_mem_duration
179055,0,41,30,129,129,1,22,30,1,7,8,2015,9,2015,2,2011,32,1,1673,1641
224971,0,41,30,129,129,1,4,32,1,7,3,2016,4,2016,10,2011,32,1,1646,1614
24801,0,33,30,149,149,1,13,25,1,9,2,2017,3,2017,7,2007,31,1,3531,3500
206468,0,41,30,99,99,1,13,21,1,7,10,2016,11,2016,7,2015,31,1,489,458
241163,0,39,31,149,149,1,15,28,1,3,2,2015,4,2015,6,2013,50,1,659,609
330799,0,41,30,149,149,1,17,23,1,7,8,2016,10,2016,4,2012,31,1,1616,1585
331361,0,41,30,149,149,1,4,19,1,7,2,2015,3,2015,3,2013,28,1,727,699
80290,0,38,30,149,149,0,13,17,0,9,6,2016,7,2016,12,2014,30,0,579,549
124469,0,40,30,149,149,1,13,34,0,3,8,2016,9,2016,12,2014,31,1,662,631
193127,0,34,30,149,149,1,13,30,1,9,7,2016,8,2016,6,2011,31,1,1909,1878
994,0,31,30,149,149,1,6,60,1,3,8,2016,9,2016,8,2012,30,1,1505,1475
321695,0,38,30,149,149,0,12,23,0,3,7,2016,8,2016,4,2015,30,0,506,476
318324,0,31,30,149,149,1,10,42,0,3,2,2017,3,2017,10,2014,31,1,891,860
112070,0,41,30,99,99,1,1,0,0,7,2,2017,3,2017,8,2015,28,1,578,550
287153,0,41,30,149,149,1,14,33,1,7,2,2016,3,2016,4,2014,29,1,699,670
236518,0,41,30,149,149,1,7,18,0,7,11,2015,12,2015,3,2011,31,1,1747,1716
139564,0,27,30,149,149,1,22,33,1,9,11,2016,12,2016,10,2013,29,1,1157,1128
389598,0,41,30,99,99,1,4,0,1,7,6,2016,7,2016,12,2013,30,1,956,926
103395,0,34,30,149,149,1,4,41,1,9,10,2016,11,2016,10,2009,30,1,2614,2584
216627,0,40,30,149,149,1,4,29,1,9,11,2015,12,2015,1,2011,31,1,1805,1774
11173,0,34,30,149,149,1,13,36,1,9,7,2016,8,2016,6,2006,31,1,3738,3707
116275,0,41,30,149,119,1,5,23,0,7,10,2015,11,2015,5,2012,32,1,1282,1250
46405,0,34,30,149,149,1,15,26,1,9,11,2016,12,2016,3,2006,31,1,3936,3905
359840,0,39,30,149,149,1,11,32,0,3,7,2015,9,2015,5,2012,43,1,1199,1156
52896,0,36,30,180,180,1,4,20,1,3,12,2016,1,2017,6,2013,30,1,1304,1274
122008,0,38,30,149,149,0,13,23,1,3,1,2017,2,2017,2,2012,30,0,1805,1775
92705,0,40,31,149,149,1,13,34,1,9,3,2015,4,2015,7,2008,30,1,2473,2443
298189,0,40,30,149,149,1,13,26,1,9,12,2016,1,2017,10,2014,30,1,824,794
333141,0,39,30,149,149,1,22,28,0,9,6,2015,8,2015,8,2008,36,1,2547,2511
53896,0,39,30,149,149,1,4,35,0,9,11,2015,12,2015,8,2007,47,1,3045,2998
32568,0,39,30,149,149,1,22,25,0,9,12,2015,1,2016,2,2008,34,1,2872,2838
3254,0,39,30,149,149,1,6,31,1,9,10,2016,12,2016,1,2011,54,1,2162,2108
84894,0,41,30,100,100,1,14,26,0,7,12,2016,1,2017,5,2010,31,1,2435,2404
199066,0,40,30,149,149,1,4,34,1,9,3,2016,4,2016,1,2014,32,1,822,790
151209,0,40,30,149,149,1,4,0,0,9,1,2017,2,2017,7,2004,33,1,4594,4561
291545,0,41,30,149,149,1,13,22,0,7,1,2016,2,2016,9,2013,29,1,883,854
168931,0,40,30,149,149,1,13,26,0,9,12,2016,1,2017,5,2015,30,1,610,580
268447,0,34,30,149,149,1,15,51,0,9,4,2016,6,2016,12,2010,59,1,2032,1973
66157,0,40,30,149,149,1,22,23,1,9,9,2015,10,2015,12,2005,29,1,3582,3553
48969,0,34,30,149,149,1,10,36,0,9,3,2016,4,2016,5,2009,30,1,2552,2522
284704,0,39,30,149,149,1,6,32,1,9,1,2017,3,2017,6,2007,43,1,3557,3514
375232,0,39,0,0,149,1,5,23,1,3,4,2015,6,2015,11,2012,52,1,948,896
